country,year,class_size
DEU,2017,23.807746666666663
DEU,2018,23.933903333333333
DEU,2019,23.765673333333336
FRA,2017,23.014862
FRA,2018,23.145106
FRA,2019,23.237772
GBR,2017,21.281067999999998
GBR,2018,21.316836000000002
GBR,2019,21.440368
