country,year,graduation_rate
DEU,2017,79.97999999999999
DEU,2018,78.95
DEU,2019,79.69000000000001
FRA,2017,86.71
FRA,2018,87.92
FRA,2019,87.91
GBR,2017,83.3
GBR,2018,82.74000000000001
GBR,2019,84.47
