country,year,teacher_hours
DEU,2017,1781.5
FRA,2017,1607.0
GBR,2017,1265.0
DEU,2018,1768.5
FRA,2018,1607.0
GBR,2018,1265.0
DEU,2019,1756.25
FRA,2019,1607.0
GBR,2019,1265.0
